Date	Open	High	Low	Close*	Adj Close**	Volume
Apr 10, 2017	1,305.91	1,311.99	1,303.92	1,307.03	1,307.03	-
Apr 07, 2017	1,306.79	1,310.11	1,303.11	1,305.80	1,305.80	-
Apr 06, 2017	1,303.73	1,310.23	1,301.61	1,306.85	1,306.85	-
Apr 05, 2017	1,308.74	1,317.97	1,302.40	1,303.57	1,303.57	-
Apr 04, 2017	1,307.06	1,308.23	1,303.38	1,308.14	1,308.14	-
Apr 03, 2017	1,310.19	1,311.90	1,300.03	1,307.45	1,307.45	-
Mar 31, 2017	1,312.26	1,314.11	1,309.79	1,310.06	1,310.06	-
Mar 30, 2017	1,308.62	1,313.84	1,307.54	1,312.61	1,312.61	-
Mar 29, 2017	1,307.05	1,309.88	1,303.92	1,308.75	1,308.75	-
Mar 28, 2017	1,297.47	1,309.87	1,295.63	1,307.11	1,307.11	-
Mar 27, 2017	1,297.93	1,299.37	1,286.70	1,297.61	1,297.61	-
Mar 24, 2017	1,300.55	1,305.57	1,294.35	1,298.81	1,298.81	-
Mar 23, 2017	1,300.69	1,306.86	1,297.94	1,299.75	1,299.75	-
Mar 22, 2017	1,298.42	1,302.44	1,294.17	1,300.78	1,300.78	-
Mar 21, 2017	1,316.26	1,320.07	1,297.27	1,298.37	1,298.37	-
Mar 20, 2017	1,318.75	1,318.92	1,313.55	1,315.60	1,315.60	-
Mar 17, 2017	1,320.35	1,322.40	1,318.05	1,318.61	1,318.61	-
Mar 16, 2017	1,322.00	1,323.66	1,317.86	1,320.04	1,320.04	-
Mar 15, 2017	1,311.13	1,324.48	1,311.13	1,321.90	1,321.90	-
Mar 14, 2017	1,314.37	1,314.37	1,306.34	1,310.48	1,310.48	-
Mar 13, 2017	1,314.27	1,315.38	1,312.31	1,314.98	1,314.98	-
Mar 10, 2017	1,310.50	1,316.60	1,308.98	1,314.26	1,314.26	-
Mar 09, 2017	1,309.35	1,312.82	1,304.21	1,309.93	1,309.93	-
Mar 08, 2017	1,312.47	1,315.40	1,308.50	1,309.44	1,309.44	-
Mar 07, 2017	1,316.40	1,316.72	1,311.27	1,312.70	1,312.70	-
Mar 06, 2017	1,320.70	1,320.70	1,312.96	1,316.91	1,316.91	-
